C:\Users\berry\Documents\1234123412341234\IMG\center_2024_11_02_08_08_54_637.jpg, C:\Users\berry\Documents\1234123412341234\IMG\left_2024_11_02_08_08_54_637.jpg, C:\Users\berry\Documents\1234123412341234\IMG\right_2024_11_02_08_08_54_637.jpg, 0, 0, 0, 3.706906
C:\Users\berry\Documents\1234123412341234\IMG\center_2024_11_02_08_08_54_745.jpg, C:\Users\berry\Documents\1234123412341234\IMG\left_2024_11_02_08_08_54_745.jpg, C:\Users\berry\Documents\1234123412341234\IMG\right_2024_11_02_08_08_54_745.jpg, 0, 0, 0, 3.662316
C:\Users\berry\Documents\1234123412341234\IMG\center_2024_11_02_08_08_54_848.jpg, C:\Users\berry\Documents\1234123412341234\IMG\left_2024_11_02_08_08_54_848.jpg, C:\Users\berry\Documents\1234123412341234\IMG\right_2024_11_02_08_08_54_848.jpg, 0, 0, 0, 3.625567
C:\Users\berry\Documents\1234123412341234\IMG\center_2024_11_02_08_08_54_948.jpg, C:\Users\berry\Documents\1234123412341234\IMG\left_2024_11_02_08_08_54_948.jpg, C:\Users\berry\Documents\1234123412341234\IMG\right_2024_11_02_08_08_54_948.jpg, 0, 0.1156893, 0, 3.627758
C:\Users\berry\Documents\1234123412341234\IMG\center_2024_11_02_08_08_55_058.jpg, C:\Users\berry\Documents\1234123412341234\IMG\left_2024_11_02_08_08_55_058.jpg, C:\Users\berry\Documents\1234123412341234\IMG\right_2024_11_02_08_08_55_058.jpg, -0.2013738, 0.4143756, 0, 3.940738
C:\Users\berry\Documents\1234123412341234\IMG\center_2024_11_02_08_08_55_159.jpg, C:\Users\berry\Documents\1234123412341234\IMG\left_2024_11_02_08_08_55_159.jpg, C:\Users\berry\Documents\1234123412341234\IMG\right_2024_11_02_08_08_55_159.jpg, -0.5047812, 0.717783, 0, 4.592047
C:\Users\berry\Documents\1234123412341234\IMG\center_2024_11_02_08_08_55_265.jpg, C:\Users\berry\Documents\1234123412341234\IMG\left_2024_11_02_08_08_55_265.jpg, C:\Users\berry\Documents\1234123412341234\IMG\right_2024_11_02_08_08_55_265.jpg, -0.3636411, 1, 0, 5.823188
C:\Users\berry\Documents\1234123412341234\IMG\center_2024_11_02_08_08_55_370.jpg, C:\Users\berry\Documents\1234123412341234\IMG\left_2024_11_02_08_08_55_370.jpg, C:\Users\berry\Documents\1234123412341234\IMG\right_2024_11_02_08_08_55_370.jpg, -0.04759292, 1, 0, 6.971338
C:\Users\berry\Documents\1234123412341234\IMG\center_2024_11_02_08_08_55_475.jpg, C:\Users\berry\Documents\1234123412341234\IMG\left_2024_11_02_08_08_55_475.jpg, C:\Users\berry\Documents\1234123412341234\IMG\right_2024_11_02_08_08_55_475.jpg, 0, 1, 0, 8.103149
C:\Users\berry\Documents\1234123412341234\IMG\center_2024_11_02_08_08_55_579.jpg, C:\Users\berry\Documents\1234123412341234\IMG\left_2024_11_02_08_08_55_579.jpg, C:\Users\berry\Documents\1234123412341234\IMG\right_2024_11_02_08_08_55_579.jpg, 0, 1, 0, 9.22894
